source,target,relationship
K.CC.A.1,1.NBT.A.1,dependency
K.CC.A.1,K.CC.A.2,conceptual connection
K.CC.A.1,K.CC.B.4,dependency
K.CC.A.2,K.CC.B.4,conceptual connection
K.CC.A.1,K.CC.A.3,dependency
K.CC.B.4,K.CC.C.6,conceptual connection
K.CC.B.4,K.CC.B.5,dependency
K.CC.B.4,1.OA.C.5,conceptual connection
K.CC.B.5,K.CC.A.3,dependency
K.CC.B.4.c,K.CC.A.2,conceptual connection
K.CC.B.4.c,1.OA.C.5,dependency
K.CC.B.5,K.CC.C.6,conceptual connection
K.CC.C.6,K.CC.B.4.c,conceptual connection
K.CC.C.6,K.CC.C.7,dependency
K.CC.C.6,K.MD.B.3,dependency
K.CC.C.7,1.NBT.B.3,dependency
K.G.A.1,K.G.A.2,conceptual connection
K.G.A.1,K.G.A.3,conceptual connection
K.G.A.1,K.G.B.4,dependency
K.G.A.1,K.G.B.5,dependency
K.G.A.1,K.G.B.6,dependency
K.G.A.2,K.G.A.3,conceptual connection
K.G.A.2,K.G.B.4,dependency
K.G.A.2,K.G.B.5,dependency
K.G.A.2,K.G.B.6,dependency
K.G.A.2,1.G.A.1,dependency
K.G.A.3,1.G.A.1,conceptual connection
K.G.A.3,K.G.B.4,dependency
K.G.A.3,K.G.B.5,dependency
K.G.A.3,K.G.B.6,dependency
K.G.B.4,1.G.A.1,dependency
K.G.B.5,1.G.A.1,dependency
K.G.B.6,1.G.A.2,dependency
K.MD.A.1,K.MD.A.2,dependency
K.MD.A.2,K.MD.B.3,dependency
K.MD.A.2,1.MD.A.1,dependency
K.MD.B.3,1.MD.C.4,dependency
K.NBT.A.1,1.NBT.B.2,dependency
K.OA.A.1,K.OA.A.2,dependency
K.OA.A.2,K.OA.A.3,dependency
K.OA.A.2,1.OA.A.1,dependency
K.OA.A.2,1.OA.B.3,dependency
K.OA.A.2,1.OA.B.4,dependency
K.OA.A.2,1.OA.C.6,dependency
K.OA.A.3,K.NBT.A.1,dependency
K.OA.A.3,K.OA.A.4,dependency
K.OA.A.3,K.OA.A.5,dependency
K.OA.A.3,1.OA.C.6,dependency
K.OA.A.4,1.OA.C.6,dependency
K.OA.A.5,1.OA.C.6,dependency
1.G.A.1,2.G.A.1,dependency
1.G.A.2,1.G.A.3,dependency
1.G.A.2,3.MD.C.5,dependency
1.G.A.2,4.G.A.3,dependency
1.G.A.3,2.G.A.3,dependency
1.MD.A.1,1.MD.A.2,dependency
1.MD.A.2,2.MD.A.1,dependency
1.MD.B.3,2.MD.C.7,dependency
1.MD.C.4,2.MD.D.10,dependency
1.NBT.A.1,1.NBT.B.2,dependency
1.NBT.B.2,1.NBT.B.3,dependency
1.NBT.B.2,1.NBT.C.4,dependency
1.NBT.B.2,1.NBT.C.5,dependency
1.NBT.B.2,1.NBT.C.6,dependency
1.NBT.B.2,2.NBT.A.1,dependency
1.NBT.C.4,2.NBT.B.5,dependency
1.NBT.C.4,2.OA.A.1,dependency
1.NBT.C.5,2.NBT.B.5,dependency
1.NBT.C.5,1.NBT.C.6,conceptual connection
1.NBT.C.6,2.NBT.B.5,dependency
1.NBT.C.5,2.OA.A.1,dependency
1.NBT.C.6,2.OA.A.1,dependency
1.OA.A.1,1.MD.C.4,dependency
1.OA.A.1,1.OA.A.2,dependency
1.OA.A.1,1.OA.D.8,conceptual connection
1.OA.A.1,2.OA.A.1,dependency
1.OA.A.1,1.OA.C.6,conceptual connection
1.OA.A.2,1.MD.C.4,dependency
1.OA.B.3,1.OA.B.4,conceptual connection
1.OA.B.3,1.OA.C.6,dependency
1.OA.B.3,2.NBT.B.9,dependency
1.OA.B.3,4.NF.B.3.a,dependency
1.OA.B.3,4.NF.B.3.b,dependency
1.OA.B.3,4.NF.B.3.c,dependency
1.OA.B.3,6.EE.A.3,dependency
1.OA.B.3,6.EE.A.4,dependency
1.OA.B.4,1.OA.C.6,dependency
1.OA.B.4,2.NBT.B.9,dependency
1.OA.B.4,3.NBT.A.2,dependency
1.OA.B.4,4.NF.B.3.a,dependency
1.OA.B.4,4.NF.B.3.b,dependency
1.OA.B.4,4.NF.B.3.c,dependency
1.OA.C.5,1.OA.C.6,dependency
1.OA.C.6,1.OA.A.1,conceptual connection
1.OA.C.6,2.OA.B.2,dependency
1.OA.C.6,1.NBT.C.4,dependency
1.OA.D.7,1.OA.D.8,dependency
1.OA.D.7,2.OA.C.3,dependency
1.OA.D.7,2.OA.C.4,dependency
1.OA.D.8,4.MD.C.7,dependency
1.OA.D.8,4.NF.B.3.d,dependency
2.G.A.1,3.G.A.1,dependency
2.G.A.2,2.G.A.3,dependency
2.G.A.2,3.MD.C.6,dependency
2.G.A.3,3.NF.A.1,dependency
2.MD.A.1,2.MD.A.2,dependency
2.MD.A.1,2.MD.A.3,dependency
2.MD.A.1,3.MD.A.2,conceptual connection
2.MD.A.1,3.MD.C.5,dependency
