grade_level_code,category_code,domain_code,cluster_code,standard_counter,substandard_counter,description
HS,N,RN,A,1,,"Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents."
HS,N,RN,A,2,,Rewrite expressions involving radicals and rational exponents using the properties of exponents.
HS,N,RN,B,3,,Explain why the sum or product of two rational numbers is rational; that the sum of a rational number and an irrational number is irrational; and that the product of a nonzero rational number and an irrational number is irrational.
HS,N,Q,A,1,,Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.
HS,N,Q,A,2,,Define appropriate quantities for the purpose of descriptive modeling.
HS,N,Q,A,3,,Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.
HS,N,CN,A,1,,"Know there is a complex number $i$ such that $i^2 = -1$, and every complex number has the form $a + bi$ with $a$ and $b$ real."
HS,N,CN,A,2,,"Use the relation $i^2 = -1$ and the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers."
HS,N,CN,A,3,,Find the conjugate of a complex number; use conjugates to find moduli and quotients of complex numbers.
HS,N,CN,B,4,,"Represent complex numbers on the complex plane in rectangular and polar form (including real and imaginary numbers), and explain why the rectangular and polar forms of a given complex number represent the same number."
HS,N,CN,B,5,,"Represent addition, subtraction, multiplication, and conjugation of complex numbers geometrically on the complex plane; use properties of this representation for computation."
HS,N,CN,B,6,,"Calculate the distance between numbers in the complex plane as the modulus of the difference, and the midpoint of a segment as the average of the numbers at its endpoints."
HS,N,CN,C,7,,Solve quadratic equations with real coefficients that have complex solutions.
HS,N,CN,C,8,,Extend polynomial identities to the complex numbers.
HS,N,CN,C,9,,Know the Fundamental Theorem of Algebra; show that it is true for quadratic polynomials.
HS,A,SSE,A,1,,Interpret expressions that represent a quantity in terms of its context.
HS,A,SSE,A,1,a,"Interpret parts of an expression, such as terms, factors, and coefficients."
HS,A,SSE,A,1,b,Interpret complicated expressions by viewing one or more of their parts as a single entity.
HS,A,SSE,A,2,,Use the structure of an expression to identify ways to rewrite it.
HS,A,SSE,B,3,,Choose and produce an equivalent form of an expression to reveal and explain properties of the quantity represented by the expression.
HS,A,SSE,B,3,a,Factor a quadratic expression to reveal the zeros of the function it defines.
HS,A,SSE,B,3,b,Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.
HS,A,SSE,B,3,c,Use the properties of exponents to transform expressions for exponential functions.
HS,A,SSE,B,4,,"Derive the formula for the sum of a finite geometric series (when the common ratio is not 1), and use the formula to solve problems."
HS,A,APR,A,1,,"Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials."
HS,A,APR,B,2,,"Know and apply the Remainder Theorem: For a polynomial $p(x)$ and a number $a$, the remainder on division by $x-a$ is $p(a)$, so $p(a) = 0$ if and only if $(x-a)$ is a factor of $p(x)$."
HS,A,APR,B,3,,"Identify zeros of polynomials when suitable factorizations are available, and use the zeros to construct a rough graph of the function defined by the polynomial."
HS,A,APR,C,4,,Prove polynomial identities and use them to describe numerical relationships.
HS,A,APR,D,6,,"Rewrite simple rational expressions in different forms; write $a(x)/b(x)$ in the form $q(x) + r(x)/b(x)$, where $a(x)$, $b(x)$, $q(x)$, and $r(x)$ are polynomials with the degree of $r(x)$ less than the degree of $b(x)$."
HS,A,CED,A,1,,Create equations and inequalities in one variable and use them to solve problems.
HS,A,CED,A,2,,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.
HS,A,CED,A,3,,"Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or nonviable options in a modeling context."
HS,A,CED,A,4,,"Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations."
HS,A,REI,A,1,,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution."
HS,A,REI,A,2,,"Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise."
HS,A,REI,B,3,,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters."
HS,A,REI,B,4,,Solve quadratic equations in one variable.
HS,A,REI,B,4,a,Use the method of completing the square to transform any quadratic equation in $x$ into an equation of the form $(x – p)^2 = q$ that has the same solutions.
HS,A,REI,B,4,b,"Solve quadratic equations by inspection, taking square roots, completing the square, the quadratic formula and factoring, as appropriate to the initial form of the equation."
HS,A,REI,C,5,,"Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions."
HS,A,REI,C,6,,"Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables."
HS,A,REI,C,7,,Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically.
HS,A,REI,D,10,,"Understand that the graph of an equation in two variables is the set of all its solutions plotted in the coordinate plane, often forming a curve (which could be a line)."
HS,A,REI,D,11,,Explain why the $x$-coordinates of the points where the graphs of the equations $y = f(x)$ and $y = g(x)$ intersect are the solutions of the equation $f(x) = g(x)$; find the solutions approximately.
HS,A,REI,D,12,,Graph the solutions to a linear inequality in two variables as a half-plane and graph the solution set to a system of linear inequalities in two variables as the intersection of the corresponding half-planes.
HS,F,IF,A,1,,Understand that a function from one set (called the category) to another set (called the range) assigns to each element of the category exactly one element of the range.
HS,F,IF,A,2,,"Use function notation, evaluate functions for inputs in their categorys, and interpret statements that use function notation in terms of a context."
HS,F,IF,A,3,,"Recognize that sequences are functions, sometimes defined recursively, whose category is a subset of the integers."
HS,F,IF,B,4,,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship."
HS,F,IF,B,5,,"Relate the category of a function to its graph and, where applicable, to the quantitative relationship it describes."
HS,F,IF,B,6,,Calculate and interpret the average rate of change of a function over a specified interval. Estimate the rate of change from a graph.
HS,F,IF,C,7,,"Graph functions expressed symbolically and show key features of the graph, by hand in simple cases and using technology for more complicated cases."
HS,F,IF,C,7,a,"Graph linear and quadratic functions and show intercepts, maxima, and minima."
HS,F,IF,C,7,b,"Graph square root, cube root, and piecewise-defined functions, including step functions and absolute value functions."
HS,F,IF,C,7,c,"Graph polynomial functions, identifying zeros when suitable factorizations are available, and showing end behavior."
HS,F,IF,C,7,d,"Graph rational functions, identifying zeros and asymptotes when suitable factorizations are available, and showing end behavior."
HS,F,IF,C,7,e,"Graph exponential and logarithmic functions, showing intercepts and end behavior, and trigonometric functions, showing period, midline, and amplitude."
HS,F,IF,C,8,,Write a function defined by an expression in different but equivalent forms to reveal and explain different properties of the function.
HS,F,IF,C,8,a,"Use the process of factoring and completing the square in a quadratic function to show zeros, extreme values, and symmetry of the graph, and interpret these in terms of a context."
HS,F,IF,C,8,b,Use the properties of exponents to interpret expressions for exponential functions.
HS,F,IF,C,9,,"Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions)."
HS,F,BF,A,1,,Write a function that describes a relationship between two quantities.
HS,F,BF,A,1,a,"Determine an explicit expression, a recursive process, or steps for calculation from a context."
HS,F,BF,A,1,b,Combine standard function types using arithmetic operations.
HS,F,BF,A,2,,"Write arithmetic and geometric sequences both recursively and with an explicit formula, use them to model situations, and translate between the two forms."
HS,F,BF,B,3,,"Identify the effect on the graph of replacing $f(x)$ by $f(x) + k$, $k f(x)$, $f(kx)$, and $f(x + k)$ for specific values of $k$ (both positive and negative)."
HS,F,BF,B,4,,Find inverse functions.
HS,F,BF,B,4,a,Solve an equation of the form f(x) = c for a simple function f that has an inverse and write an expression for the inverse.
